"mood","style_en","style_zh","rendering_keywords","visual_rule","color_rule","best_for","title_style"
"未来/科技","Tech Cartoon 3D Poster","科技萌趣3D海报","3D卡通渲染，深蓝渐变背景，科技感装饰元素，萌趣卡通吉祥物，产品设备主视觉，像素光流，蓝白主色调，细腻材质，毛绒质感，金属光泽","深蓝渐变大背景；画面中央放置产品/设备（平板/手机/屏幕等）作为核心视觉容器，设备内嵌与品牌相关的3D卡通吉祥物（圆润萌趣，造型贴合主题）；左侧或上方排列产品名称与核心卖点文字；周围环绕与品牌/功能关联的装饰元素（星星、星球、科技配件、工具道具等，大小错落）；设备底部或边缘延伸像素光流（方形像素点+光效）；整体光影明亮饱满，立体感强，融合未来科技与可爱亲切氛围；装饰元素不超过画面 30%，主视觉突出","深蓝 #0A1628～#1A3A6B 渐变背景；浅蓝 #4A9FD4 用于立体大字/装饰元素；白色 #FFFFFF 用于设备主体/吉祥物；银色 #C0C8D4 用于金属质感点缀；全图蓝白双色为主，禁止引入大面积暖色","科技产品发布海报、AI工具宣推图、品牌吉祥物展示、社区/平台推广","白色+浅蓝双色组合；产品名称用大号无衬线粗体（英文全大写+中文搭配）；卖点用小号文字配分隔符横排；文字带轻微3D立体感或描边，与整体渲染风格统一"
"极简/安静","Museumcore","博物馆核","博物馆展览海报风格，策展排版，大留白，编号标签，极简专业","借用博物馆排版系统，Helvetica 标签，策展式信息层级，文物编号标注感","奶白底 #F9F6F0，深灰 #333333 正文，偶用机构蓝 #005BAC 或 MoMA 红 #CC0000 点缀","文化机构、学术内容、知识展览、策展型信息图","等比例无衬线体（类 Helvetica Neue Regular），字号对比鲜明（标题大/编号极小），黑色，策展式排版感"
"极简/安静","Minimalist Line Art","手绘线稿风","极简线稿，单线描绘，负空间，白色背景，黑色线条，无填充，简约插画，技术钢笔素描感，建筑草图风","用最少线条（单线无填充）传达完整形象，负空间成为视觉的一部分","白底 #FFFFFF，单色线条（黑 #1A1A1A 或深蓝 #1A2744 或深红 #8B0000）","高端品牌、编辑插画、建筑文化内容、艺术机构","极细描边无衬线（类 Gill Sans Light/Optima），笔画纤细如线稿，黑色，字间距舒展，无任何装饰"
"强烈/冲击","Neubrutalism","新粗野主义","新粗野主义（Neubrutalism），粗黑描边，偏移阴影，纯色块，无圆角，强对比","所有元素有 2-4px 纯黑描边，右下方 4-8px 纯黑实色偏移阴影，无渐变，无圆角","纯白底 #FFFFFF，粗黑描边 #000000，电光黄 #FFE500 主色块，鲜红 #FF2200 强调，纯色无渐变","品牌活动、音乐节、创意展览、态度型海报","粗黑无衬线字体（Heavy/Black字重），笔画极粗，文字加 2-4px 黑色描边，轻微旋转 ±2°，冲击感强"
"实验/前卫","Anti-Design","反设计风","反设计，混乱排版，字体冲突，元素重叠，刻意不和谐，实验性视觉，朋克风格","刻意打破排版法则，字体混搭、颜色冲突、元素重叠、构图失衡（参考 David Carson）","无特定配色，刻意颜色冲突，高饱和色与低饱和色混用","创意机构、实验艺术、前卫品牌、挑战性议题","混搭多种字体（衬线+无衬线+手写），大小方向任意变化，倾斜叠压，故意撞色，无秩序感"
"复古/怀旧","Risograph","孔版印刷风","孔版印刷（Risograph），套印偏差效果，颗粒感网点纹理，颜色叠加产生第三色，限色印刷感","模拟 Risograph 印刷机，两色层有 2-4px 随机偏移，颗粒网点覆盖全图，颜色叠合区出现第三色","米色纸底 #F5F0E8，荧光橙 #FF6B35 + 荧光蓝 #0099CC（叠合产生深棕 #C44A00），严格限 2 专色","独立出版、音乐海报、文化机构、文艺活动","厚重圆体（类 Brandon Grotesque Bold），轻微套印偏差（文字有 1-2px 色彩偏移），印刷油墨质感，限色系"
"复古/怀旧","Retro Modernism","复古现代主义","复古现代主义，半色调网点，褪色色调，1970年代，复古广告排版，几何分割","1970-80 年代版面风格，半色调网点（Halftone）印刷感，褪色处理，几何版块分割","褪色橙 #D4713A、泥黄 #C9A94C、暗绿 #5C7A4E、米白 #EDE0C4，饱和度均降低 30%","品牌焕新、文化展览、怀旧主题、复古活动","复古压缩黑体（类 Trade Gothic Condensed），半色调网点叠加在文字上，褪色感，1970s 广告排版风格"
"做旧/质感","Deliberate Friction","故意摩擦噪点风","噪点质感，划痕纹理，油墨飞溅，纸张感，故意粗糙，印刷缺陷，不完美美学","刻意叠加印刷缺陷：噪点、划痕、油墨飞溅、纸张纹理，反精修，强调不完美","不限定主色，噪点层是风格载体，建议底色用暖米 #F0E8D8 或脏白 #E8E4DC","地下文化、独立品牌、纪录片海报、实验艺术","破损感手写体或磨损无衬线（类 Messy Font），边缘粗糙不均，油墨飞溅效果，字体表面叠加噪点和划痕"
"做旧/质感","Refined Grit","精致颗粒风","细腻颗粒，银盐胶片，精致做旧，哑光色调，高级质感，颗粒叠加，精美构图","银盐胶片般的细腻颗粒，精美构图与粗糙质感并存，追求高级感的噪点层","深蓝 #1C2B40、暗绿 #2D3D2F、砖红 #7A3228 作主色，叠加细腻颗粒，哑光质感","高端品牌、独立出版、艺术海报、杂志风视觉","精致衬线字体（类 Cormorant Garamond/Freight Display），纤细优雅，细腻银盐颗粒叠加，哑光深色调，高级克制"
"做旧/质感","Xerox","低墨水复印机美学","复印机质感，低墨效果，黑白灰，边缘模糊，不均匀墨迹，扫描痕迹，朋克粗糙","模拟家用复印机低墨状态，墨迹不均匀，文字边缘发虚，灰阶不稳定","黑白灰为主（#000000 / #808080 / #D0D0D0），偶有脏黄/米色纸底 #E8E0D0","朋克活动、独立音乐、街头文化、地下刊物","模糊复印体（类 Typewriter/OCR-A），文字边缘发虚不均，灰阶不稳定，复印机低墨迹效果，朋克感"
"迷幻/朋克","Pixel Art","像素游戏风","像素风格，8位游戏美学，方形像素点阵，复古电子游戏，清晰像素边缘，限色像素画","所有形态由方形像素点构成，画面呈现复古电子游戏质感，颜色有限，边缘清晰锐利无抗锯齿","限色系（16色以内），深蓝背景 #1A1A2E + 亮色像素强调，或白底黑色像素网格排列","复古游戏主题、开发者品牌、像素活动、亚文化海报","像素点阵字体（Bitmap/Press Start 2P），方形像素构成字母轮廓，无抗锯齿，8-bit 游戏感，高对比限色"
"几何/结构","Technical Blueprint","工程标注图","工程蓝图，技术标注，剖面图，爆炸分解视图，黑白墨线，建筑草图风格，物件解剖图","产品/物件以剖面或爆炸分解视图呈现，配合精细墨线标注和注释，白底，风格类似技术手册或博物馆展品解说图","纯白底 #FFFFFF，黑色精细线条 #1A1A1A，金色/红色标注线 #C9A85C 或 #CC0000，偶有灰色阴影","产品说明、硬核科普、工程展示、博物馆展品","工程标注字体（类 DIN/Eurostile），精细等宽，标注线引出感，黑色墨线，技术手册排版风格"
"手工/温暖","Anti-AI Crafting","反AI手作风","水彩手绘，钢笔线稿，纸张纹理，手工痕迹，不完美美学，传统媒介，颜料晕染，版画风","水彩/钢笔/木刻/版画等传统媒介，刻意保留不完美的手工痕迹，对抗 AI 图像宣言","水彩自然色：生赭 #C4913A、藤黄 #E8C84A、靛蓝 #2B4A8C、翠绿 #3A8C5E（天然颜料感）","手工品牌、文化展览、艺术海报、反科技主题","手写钢笔字或刻版字体（类 Caveat/Permanent Marker），笔触不规则，可见墨水晕染，水彩颜料感边缘"
"手工/温暖","Tactile Warmth","触感暖调风","温暖质感，亚麻布料，陶土色，羊毛纹理，大地色系，低饱和，自然材质，手工感","让观者想触摸：羊毛质感、木材纹理、陶土表面、亚麻布料，色彩模拟自然材质","赤陶橙 #C4632A、燕麦白 #F2EDE4、苔藓绿 #7A8C5E、砖红 #9B3A2A、亚麻米 #D4C5A9，饱和度 40-60%","食品饮料、生活方式品牌、家居内容、手工品牌","温暖圆润衬线（类 Playfair Display Regular/Lora），笔画温润有肉感，大地色系，字间距自然，有触感质地"
"手工/温暖","Organic Nature Design","有机自然设计","有机形态，植物元素，不规则曲线，自然纹理，可持续美学，绿色环保，叶形构图，柔和边缘","所有构图元素采用仿生有机曲线，严格避免直线和锐角；叶片、枝干、水滴等自然形态以现代简化方式呈现；构图疏密仿照自然生长节奏，中心密集、边缘稀疏，视觉动线从中心向外蔓延扩散；底层可叠加纸张/织物/木纹等自然材质纹理增加触感；文字融入有机形态之间的自然空白处，不破坏整体流动感；禁止使用任何规则网格或硬边分割","深绿 #2D5A3D、苔绿 #5A7A4E、土褐 #8B6A3E、奶油白 #F5F0E4、赭石 #A0683A","环保品牌、可持续主题、生活方式、自然疗愈内容","有机手写体（类 Alegreya/Sorts Mill Goudy），字形带叶脉般的曲线笔触，深绿色，自然流淌感，不规则基线"
"手工/温暖","Embroidery Illustration","刺绣插图风","刺绣插画，亚麻布料底，彩色纱线，缎面绣笔触，可见针脚走向，手工温暖质感，民俗装饰感","所有元素模拟刺绣针法（缎面绣、回针绣、法式结粒绣），纱线走向可见，轮廓有立体感，底面为织物纹理","亚麻米色底 #D4C5A9，彩色纱线（暖橙 #E8873A、天蓝 #87CEEB、玫瑰粉 #F5D5D5、叶绿 #7A8C5E），民俗色系柔和","手工品牌、节庆活动、民俗主题、温暖氛围内容","刺绣感装饰字体（类 Lobster/Great Vibes），字母轮廓模拟纱线针迹，彩色纱线多色交织，布料底纹可见"
"叙事/插画","Narrative Packaging","故事标签风","故事海报，插画叙事，老式标签，椭圆框，品牌名牌，文字嵌入场景，书籍封面感，复古插画，水彩+钢笔淡彩，可见水渍纹理","海报本身是完整故事的载体，插画场景+文字说明共同构建叙事，类似书籍封面","复古色系：棕 #8B5A2B、绿 #3D6B4A、奶白 #F5ECD7、砖红 #9B3A2A","品牌发布、节庆包装、故事型海报、文化活动","复古书标签字体（类 Playfair Display SC/Libre Baskerville），椭圆框内排版，字母有小型大写，棕绿复古色，书籍封面质感"
"可爱/活泼","Naïve / Childlike Scrawl","童趣涂鸦风","童趣涂鸦，儿童绘画风，歪斜线条，超出边界填色，蜡笔感，不规则，朴拙可爱，手绘涂鸦","线条走向歪斜不均，模拟3-6岁儿童用蜡笔/彩铅握笔颤抖感；填色刻意溢出轮廓线2-5px，方向不固定；人物比例故意失真（头超大约占身体1/2、手大脚小）；文字歪斜书写，大小不统一，笔画间距不均；整体画面可轻微倾斜（±3-5°）强化随意感；轮廓线粗细不均，偶有断线或涂改痕迹；太阳/房子/云朵等图形保持儿童刻板印象的简化造型","原色系：大红 #FF3333 + 明黄 #FFE500 + 天蓝 #33AAFF + 草绿 #33CC66，明亮高饱和","儿童品牌、趣味活动、年轻向海报、轻松社交内容","歪斜蜡笔手写体（类 Crayon/Kalam），笔画粗细不均，字母歪斜方向随机，颜色填出轮廓线外，儿童涂鸦感"
"拼贴/混媒","Magazine Collage","杂志拼贴风","杂志拼贴，剪贴画，不同时代混搭，白边剪切，时代感，多风格混排，复古杂志","从不同时代（1950s-1990s）杂志/报纸裁取人物、产品图、标题文字和广告色块；各元素保留白色剪切边（1-3px）和轻微翻卷效果，模拟实物剪贴立体感；叠放时保持明显的比例差异（大小对比），并以±5-15°随机旋转增加随意感；底层叠加泛黄纸张纹理营造年代感；整体保持一个视觉重心，避免元素过于分散；不同时代图片并置产生的风格错位感即是核心看点","受原素材限制，整体偏暖旧色调，白底 #F5F0E8，添加泛黄效果","时尚品牌、文化杂志、艺术展、杂志风视觉","剪贴拼凑字体（不同杂志风格的标题字混排），各字母来自不同时代字体，白色剪切边，随机旋转 ±5°，拼贴杂志感"
"拼贴/混媒","Digital Scrapbooking","数字剪贴簿风","宝丽来照片，手写便签，邮票，胶带条纹，记忆物件，私密感，手工拼贴，旧照片感","宝丽来胶片边框、手写便签、邮票、胶带条纹等个人记忆物件的数字化呈现","泛黄白 #F5ECD7、淡粉 #F5D5D5、薄荷绿 #C5E8D5、牛皮棕 #C4913A，温暖旧色调","个人品牌、情感主题、生活方式内容、回忆感海报","便签手写字体（类 Patrick Hand/Indie Flower），像便利贴上的随手笔迹，淡粉或薄荷绿色，字母带轻微压痕，贴纸感"
"叙事/插画","Type That Tells a Story","叙事字体海报","路径排版，弧形文字，字体叙事，沿图形轮廓排列，文字流动，排版走势，视觉流向","文字沿路径/轮廓/图形排列，字形和位置共同传递情绪，排版本身形成叙事走向","低饱和底色 #E8E4DC + 深色字 #2C2C2C，偶有局部亮色强调（单色点缀）","文化活动、书籍海报、艺术展、叙事型标题视觉","路径弧形排列字体（类 Garamond/EB Garamond Italic），文字沿曲线或轮廓流动，字形本身叙事，低饱和深棕色"
"实验/前卫","Scavenged Lettersets","拼凑字体风","拼凑字母，混搭字体，赎金信风格，不一致排版，剪报拼接，朋克字体，无序字母组合","每个字母来自不同字体/大小/朝向，刻意不一致，像剪报拼成的赎金信效果","白/米色底 #F5F0E8，字母颜色杂乱多样，不统一配色","朋克品牌、实验海报、独立音乐、地下文化","赎金信拼凑体（每个字母独立字体、大小、角度、颜色），剪报拼接感，无统一配色，朋克无序美学"
